word,status
all,kept
and,kept
animal,kept
ashes,kept
at,kept
back,kept
bad,kept
bark,kept
because,kept
belly,kept
berry,kept
big,kept
bird,kept
bite,kept
black,kept
blood,kept
blow,kept
bone,kept
breathe,kept
burn,kept
child,kept
cloud,kept
cold,kept
come,kept
count,kept
cut,kept
day,kept
die,kept
dig,kept
dirty,kept
dog,kept
drink,kept
dry,kept
dull,kept
dust,kept
ear,kept
earth,kept
eat,kept
egg,kept
eye,kept
fall,kept
far,kept
fat,kept
father,kept
fear,kept
feather,kept
few,kept
fight,kept
fire,kept
fish,kept
five,kept
float,kept
flow,kept
flower,kept
fly,kept
fog,kept
foot,kept
four,kept
freeze,kept
give,kept
good,kept
grass,kept
green,kept
guts,kept
hair,kept
hand,kept
he,kept
head,kept
hear,kept
heart,kept
heavy,added
here,kept
hit,kept
hold,kept
how,kept
hunt,kept
husband,kept
I,kept
ice,kept
if,kept
in,kept
kill,kept
know,kept
lake,kept
laugh,kept
leaf,kept
left,kept
leg,kept
lie,kept
live,kept
liver,kept
long,kept
louse,kept
man,kept
many,kept
meat,kept
mother,kept
mountain,kept
mouth,kept
name,kept
narrow,kept
near,kept
neck,kept
new,kept
night,kept
nose,kept
not,kept
old,kept
one,kept
other,kept
person,kept
play,kept
pull,kept
push,kept
rain,kept
red,kept
right,kept
right,kept
river,kept
road,kept
root,kept
rope,kept
rotten,kept
rub,kept
salt,kept
sand,kept
say,added
scratch,kept
sea,kept
see,kept
seed,kept
sew,kept
sharp,kept
short,kept
sing,kept
sit,kept
skin,kept
sky,kept
sleep,kept
small,kept
smell,kept
smoke,kept
smooth,kept
snake,kept
snow,kept
some,kept
spit,kept
split,kept
squeeze,kept
stab,kept
stand,kept
star,kept
stick,kept
stone,kept
straight,kept
suck,kept
sun,kept
swell,kept
swim,kept
tail,kept
that,kept
there,kept
they,kept
thick,kept
thin,kept
think,kept
this,kept
thou,kept
three,kept
throw,kept
tie,kept
tongue,kept
tooth,kept
tree,kept
turn,kept
two,kept
vomit,kept
walk,kept
warm,kept
wash,kept
water,kept
we,kept
wet,kept
what,kept
when,kept
where,kept
white,kept
who,kept
wide,kept
wife,kept
wind,kept
wing,kept
wipe,kept
with,kept
woman,kept
woods,kept
worm,kept
ye,kept
year,kept
yellow,kept
brother,dropped
sister,dropped
six,dropped
seven,dropped
eight,dropped
nine,dropped
ten,dropped
twenty,dropped
hundred,dropped
clothing,dropped
cook,dropped
dance,dropped
shoot,dropped
speak,dropped
work,dropped
cry,dropped
